timestamp,frame,fps,ear_left,ear_right,ear_avg,mar,ml_eye_conf,ml_mouth_conf,fused,eye_closed_raw,eye_closed_valid,blink_dur,yawn_dur,yawn_count,perclos,status
1778746410.7852,0,2.3,0.2956,0.2724,0.2840,0.0101,0.9909,0.5899,0.2973,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746410.8845,1,14.9,0.2961,0.2682,0.2821,0.0048,0.9757,0.4195,0.2927,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746410.9179,2,34.8,0.2889,0.2648,0.2769,0.0105,0.9925,0.4645,0.2978,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746410.9339,3,62.7,0.2829,0.2714,0.2771,0.0092,0.9947,0.4645,0.2984,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746410.9856,4,18.4,0.2921,0.2510,0.2716,0.0053,0.9851,0.5175,0.2955,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.0056,5,54.5,0.2855,0.2593,0.2724,0.0055,0.9850,0.5175,0.2955,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.0466,6,24.9,0.2798,0.2671,0.2734,0.0060,0.9948,0.5733,0.2984,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.0662,7,52.0,0.2871,0.2753,0.2812,0.0088,0.9850,0.4350,0.2955,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.1143,8,20.1,0.2797,0.2758,0.2778,0.0046,0.9891,0.4418,0.2967,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.1373,9,47.5,0.2833,0.2734,0.2784,0.0032,0.9925,0.4038,0.2977,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.1909,10,17.8,0.2236,0.1768,0.2002,0.0071,0.9997,0.4626,0.9999,1,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.2088,11,58.3,0.2206,0.1850,0.2028,0.0094,0.9997,0.3554,0.9999,1,0,0.0179,0.0000,0,0.0000,NORMAL
1778746411.2539,12,22.9,0.2335,0.2407,0.2371,0.0101,0.9994,0.4300,0.2998,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.2695,13,62.8,0.2406,0.2309,0.2358,0.0082,0.9994,0.3168,0.2998,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.3184,14,20.6,0.2772,0.2445,0.2609,0.0138,0.9969,0.6140,0.2991,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.3434,15,40.1,0.2777,0.2482,0.2629,0.0120,0.9969,0.4479,0.2991,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.3823,16,25.9,0.2830,0.2669,0.2749,0.0042,0.9965,0.3827,0.2989,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.4063,17,40.9,0.2885,0.2699,0.2792,0.0050,0.9965,0.2762,0.2989,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.4473,18,24.0,0.2805,0.2819,0.2812,0.0072,0.9832,0.4300,0.2950,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.4689,19,47.5,0.2760,0.2853,0.2806,0.0049,0.9902,0.3957,0.2971,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.5263,20,17.6,0.2902,0.2741,0.2821,0.0056,0.9902,0.5144,0.2971,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.5412,21,58.1,0.2823,0.2875,0.2849,0.0034,0.9958,0.4455,0.2987,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.5899,22,21.2,0.2763,0.2613,0.2688,0.0019,0.9934,0.3465,0.2980,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.6104,23,51.7,0.2892,0.2772,0.2832,0.0020,0.9913,0.4459,0.2974,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.6539,24,20.5,0.2803,0.2908,0.2856,0.0046,0.9954,0.3215,0.2986,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.6731,25,70.4,0.2837,0.2975,0.2906,0.0027,0.9976,0.5065,0.2993,0,0,0.0000,0.0000,0,0.0000,NORMAL
1778746411.7192,26,21.3,0.3015,0.2691,0.2853,0.0031,0.9951,0.5339,0.2985,0,0,0.0000,0.0000,0,0.0000,NORMAL
